cmd	n	stem_aashna	stem_aanchal	stem?	error in translation?
Languages	1332	0	0	0	0
Center Of Cryptography	1	0	0	0	0
Key Laboratory Of Photochemical Conversion And Optoelectronic Materials	7	1	1	1	0
Department For The Study Of Culture	54	0	0	0	0
Political Science	15731	0	0	0	0
Education	62380	0	0	0	0
Malacology Department	1	0	1	1	0
Institute For Logic, Language And Computation	52	1	1	1	0
Medicity Research Laboratory	10	1	1	1	0
Physics	102194	1	1	1	0
Insititute Of Physical Metallurgy And Metal Physics	1	1	1	1	0
Bachelor Of Music	2	0	0	0	0
Dipartimento Di Fisica \"Ettore Pancini\"	8517	0	1	1	1
Pharmacology	11111	1	1	1	0
Physics Department	10595	1	1	1	0
Pharmaceutics	3016	1	1	1	0
Esat	160	0	#NAME?	0	1
American Studies	615	0	0	0	0
Physical	3452	0	#NAME?	0	0
Non-Formal Education	45	0	0	0	0
Microbiology	19503	1	1	1	0
Clinical Psychology	3419	0	0	0	0
Faculty Of Electrical Engineering	1488	1	1	1	0
Graduate School Of Agriculture	431	1	1	1	0
Deanship Of Law	3	0	0	0	0
Accounting	9448	0	0	0	0
Law Library	186	0	0	0	0
Epidemiology &Amp; Public Health	59	1	1	1	0
Biology	63334	1	1	1	0
Dickson Poon School Of Law	47	0	0	0	0
Antioquia	12440	0	#NAME?	0	1
Mathematics	59852	1	1	1	0
Central Institute Of Dryland Agriculture	1	1	1	1	0
General Curriculum	1	0	0	0	0
Qufu Normal University	2	0	#NAME?	0	0
Plant Pathology	3004	1	1	1	0
Electrical Engineering	34730	1	1	1	0
Control Engineering And Automation	15	1	1	1	0
Department Of Geophysics	545	1	1	1	0
Philosophy	22459	0	0	0	0
Institute Of Biophysics	245	1	1	1	0
Psychology	82994	0	0	0	0
Psychology Of Learning With Digital Media	1	0	1	0	0
Department Of Medicine	4696	1	1	1	0
Health Care Department	21	1	1	1	0
Bioinformatics	2719	1	1	1	0
Classical Archaeology	171	0	0	0	0
Computer Science And Applied Mathematics	118	1	1	1	0
Department Of Biology	10455	1	1	1	0
Institut Of General Practice	1	0	0	0	1
Psychiatry &Amp; Neuroscience	4	1	1	1	0
Annual Award For Excellence In Research And Referencing	1	0	#NAME?	0	0
Programa De Pós-Graduação Em Letras	1	0	#NAME?	0	1
Engineering Physics And Mathematics	55	1	1	1	0
Coautor, V Colaplamed	1	0	#NAME?	0	1
Economics	38915	0	0	0	0
Cardiology	9528	1	0	1	0
Tolima	2342	0	#NAME?	0	1
Project Management	1092	0	0	0	0
Geografia	4262	0	1	1	1
Plant Physiology, Nutrition	2	1	1	1	0
Production Engineering	1685	1	1	1	0
Institute Of Chemistry	3772	1	1	1	0
International History	125	0	0	0	0
Internal Medicine	19128	1	1	1	0
Mathematics (Applied)	3	1	1	1	0
Computer Science	53284	1	1	1	0
Dept. Of Industrial And Information Engineering And Economic	1	1	1	1	0
Proppe	4	0	#NAME?	0	1
Postgraduate	9448	0	#NAME?	0	0
Chemistry	125554	1	1	1	0
Department Of Oral Maxillofacial Head Neck Oncology	2	1	1	1	0
Institute Of Biomedical Sciences	11	1	1	1	0
Bielefeld Graduate School In History And Sociology	7	0	0	0	0
Center For Applied Research On The Environment And Sustainability	4	1	1	1	0
Faculty Of Agriculture	1660	1	1	1	0
Sociology	23800	0	0	0	0
Medicine Of Animal, Production And Health Department	1	1	1	1	0
Department Of Biology Of Physical Activity	38	1	1	1	0
Legal	2235	0	0	0	0
Faculty Of Veterinary Medicine	2736	1	1	1	0
Electrical Engineering And Computer Science	2342	1	1	1	0
Biology (Microbiology)	7	1	1	1	0
Informatiche	30	0	1	1	1
Tuberculosis Research Group - Infectology	1	1	1	1	0
Civil Engineer	342	1	1	1	0
Engineering	22627	1	1	1	0
Lpma	10	0	#NAME?	0	1
Economics Development Studies	5	0	0	0	0
Prodep	95	0	#NAME?	0	1
Languages &Amp; Computer Science	4	1	1	1	0
Faculty Of Computer Science And Information Technology	249	1	1	1	0
Mechanical And Aeronautical Engineering	164	1	1	1	0
Accountancy	648	0	0	0	0
Department Of Chemistry	27346	1	1	1	0
Legal Area	31	0	0	0	0
Institute Of Psychology	2616	0	0	0	0
Psychological &Amp; Brain Sciences	202	0	1	0	0
School Of Literature Languages And Linguistics	1	0	0	0	0
Cauca's Valley	5580	0	#NAME?	0	1
Department Of Communication	828	0	0	0	0
School Of Nutrition, Food Science And Technology	5	1	1	1	0
Electrical And Electronics Engineering	6777	1	1	1	0
School Of Economics	3484	0	0	0	0
Neurology	14928	1	1	1	0
De Alianzas Para La Educación Y La Capacitación Becas Brasil	1	0	#NAME?	0	1
Química-Física Aplicada/Chemistry-Physics Applied	2	1	#NAME?	0	1
School Of Electrical And Electronic Engineering	32	1	1	1	0
Surface Characterization Service	1	0	1	1	0
School Of Psychology And Counseling	2	0	0	0	0
Civil And Environmental Engineering	10399	1	1	1	0
Prehospital Medicine	1	1	1	1	0
Departamento De Enfermagem	131	0	#NAME?	0	1
Forest Logistics	2	1	#NAME?	1	0
Preventive Medicine And History Of Science	1	1	1	1	0
Pharmaceutical Chemistry	2534	1	1	1	0
Electronics And Communication Engineering	6808	1	1	1	0
Religion	652	0	0	0	0
Csma Garraf	2	0	#NAME?	0	1
Journal Of Geophysical Research	1	1	1	1	0
Molecular Sciences	195	1	1	1	0
English Studies	749	0	0	0	0
General Surgery	7558	0	0	0	0
Agricultural Sciences	2081	1	1	1	0
Accounts And Information Systems	1	0	0	0	0
Academic	2411	0	#NAME?	0	0
Teologi	174	0	#NAME?	0	1
Insa	11	0	0	0	1
Fisica	1554	0	#NAME?	0	1
Institute Of Hotel And Tourism Management	1	0	0	0	0
Fat &Amp; Oil Team	1	0	#NAME?	0	0
Obstetrics And Gynecology	5018	0	0	1	0
Geriatric Medicine	240	1	0	1	0
Food Science And Technology	3088	1	1	1	0
Applied Mathematics	3611	1	1	1	0
Mechanical Engineering	70536	1	1	1	0
Technical Development	46	1	1	1	0
Pharmacology And Physiology	220	1	1	1	0
It	3928	1	1	1	0
Pós-Graduação Lato Sensu: Gestão De Política De Dst, Aids, Hepatites Virais E Tuberculose	1	1	#NAME?	0	1
Life Sciences	6021	0	0	0	0
Cundinamarca	18619	0	#NAME?	0	1
Morphology	266	0	1	1	0
Department Of Operational Activities And Special Equipment	1	0	0	0	0
School Of Engineering	5886	1	1	1	0
Mcintire School Of Commerce	18	0	0	0	0
Fast Labs	4	0	0	0	0
Epidemiology	6111	1	1	1	0
Pharmacy Systems, Outcomes And Policy	7	1	1	1	0
Institute Of Biological Sciences	1468	1	1	1	0
Institute Of Polish Philology	33	0	0	0	0
Physics Of Fluids	32	1	1	1	0
Theoretical Division	137	0	1	1	0
Argentine Institute Of Research In Dry Areas	2	1	#NAME?	0	0
Hematology	2465	1	0	1	0
Foreign Language Schools	61	0	0	0	0
Bioquimica Y Biología Molecular	17	1	#NAME?	0	1
Imecc	192	0	#NAME?	0	1
Music	7152	0	0	0	0
Division Of Psychiatry And Applied Psychology	27	0	0	0	0
Psychiatry	11983	0	0	0	0
Military Medical Faculty	14	1	1	1	0
Tourism	1119	0	0	0	0
Advice And Monitoring	1	0	0	0	0
School Of Medicine	20181	1	1	1	0
Biology Department	2027	1	1	1	0
Department Of Entrepreneurship And Towaroznwastwa	1	0	0	0	1
Secondary Registration	1	0	0	0	0
Mechanical	4813	1	#NAME?	1	0
Biosciences And Biomedical Engineering	22	1	1	1	0
Medical Science/Nutrition	2	1	1	1	0
Women's And Gender Studies	104	0	0	0	0
Speech-Language Pathology	149	0	1	1	0
Chemical Engineering	36037	1	1	1	0
Pedagogical And Developmental Psychology	1	0	#NAME?	0	0
Plant Biology And Biotechnology, Phytomedicine Unit	1	1	1	1	0
Personnel Management	32	0	0	0	0
Orthodontics	2067	0	0	1	0
Oceanography	1823	1	1	1	0
Endocrinology And Metabology	8	1	1	1	0
Patient Information Working Group	1	0	0	0	0
Trio Upward Bound Summer Program	1	0	#NAME?	0	0
School Of Environment Science And Spatial Information	3	1	1	1	0
Econometrics And Statistics	29	1	1	1	0
Civil Engineering	41036	1	1	1	0
Otolarhinolaryngology	1	0	0	0	0
Area Studies	48	0	0	0	0
History	30660	0	0	0	0
Special Collections And University Archives	21	0	0	0	0
Ec	114	0	#NAME?	0	0
Seismology And Tectonophysics	13	1	1	1	0
Eicea	25	0	#NAME?	0	0
R&Amp;D	7262	0	#NAME?	0	1
Center For Biostatistics In Aids Research	10	1	1	1	0
Animal Science	6132	1	1	1	0
Livestock Genetics	6	1	1	1	0
Operative Dentistry And Endodontics	26	1	0	1	0
National Institute Of Graduate	1	0	#NAME?	0	0
Jane Addams College Of Social Work	23	0	0	0	0
Development Department	85	0	0	0	0
Archaeology	4453	0	0	0	0
Social Work	5776	0	0	0	0
Hubei Key Laboratory Of Economic Forest Germplasm Improvement And Resources Comprehensive Utilization	1	1	1	1	0
Cardiovascular Surgery	1037	1	1	1	0
Postdoctoral Research Station Of Mechanics	1	1	1	1	0
Cidse	33	0	#NAME?	0	1
Biological Facultet	3	1	1	1	1
Department Of Pathology And Laboratory Medicine	220	1	1	1	0
Institute Of Health And Biomedical Innovation	75	1	1	1	0
General Management	253	0	0	0	0
Faculty Of Engineering	9579	1	1	1	0
Escola De Psicologia	8	0	#NAME?	0	1
Faculty Of Law	27	0	0	0	0
Department Of Psychology	11544	0	0	0	0
Mestrado Em Nutrição Alimentos E Metabolismo.	1	1	#NAME?	0	1
Bmac Career Development Award Committee	1	0	#NAME?	0	0
College Of Agriculture Of Lavras - Esal	1	1	1	1	0
Religious Studies	1409	0	0	0	0
Department Of Food Technollogy	1	1	1	1	0
Condensed Matter Physics	645	1	1	1	0
Flexible Electronics And Hybrid Integration	1	1	1	1	0
Faculty Of Psychology, Education Ans Sport Sciences	1	0	0	0	0
Lab Rech. Géodésie - Lareg - Ign-Udd-Upem	1	0	#NAME?	0	1
Faculty Of Physics	3387	1	1	1	0
Engineering	1135	1	1	1	0
Nasf - Núcleo De Apoio À Saúde Da Família	1	0	#NAME?	0	1
Community Medicine	2565	1	1	1	0
Faculty Of Sports Science	101	0	0	0	0
African Group Of Ambassadors	1	0	#NAME?	0	0
Special Machinery	13	1	#NAME?	1	0
School Of Healthcare Sciences	83	1	1	1	0
School Of Civil &Amp; Environmental Engineering	42	1	1	1	0
Facultad De Ciencias Espaciales	1	0	#NAME?	0	1
Mechanical Enginnering	175	1	1	1	0
Secondary Education. High School Teacher. State School	1	0	0	0	0
Ecisalud	6	0	#NAME?	0	1
Pediatric Anesthesia	12	1	0	1	0
Costume Design	11	0	0	0	0
Applied Chemistry	1624	1	1	1	0
Boyacá	3396	0	#NAME?	0	1
Department Of Chemical Engineering \"Giulio Natta\"	2	1	1	1	0
Reactor Technology Centre	2	1	#NAME?	0	0
Lut School Of Management And Business	1	0	0	0	0
Community Developement	1	0	0	0	0
Department Of Physics And Technology	194	1	1	1	0
Department Of Periodontology	224	0	0	0	0
Suzanne Dworak Peck School Of Social Work	3	0	0	0	0
Department Of Mechanical Engineering And Science	25	1	1	1	0
Department Of Portuguese And Brazilian Studies	11	0	0	0	0
department of electronics	3	1	#N/A	1	0